synset_id,definition,eng,spa,jpn,fra,por,ita,pol,cmn,ind
2684,a tangible and visible entity; an entity that can cast a shadow,"[""object"", ""physical_object""]","[""cosa"", ""objeto"", ""objeto_físico"", ""objeto_inanimado""]","[""もの"", ""物""]","[""chose"", ""objet""]","[""objeto"", ""objeto_físico""]","[""cosa"", ""oggetto""]","[""obiekt""]","[""客体"", ""对象"", ""物体"", ""目标""]","[""barang"", ""benda"", ""objek""]"
6484,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,"[""cell""]","[""célula""]","[""セル"", ""細胞""]","[""cellule""]","[""célula""]","[""cellula""]","[""komórka""]","[""细胞""]","[""sel""]"
7846,a human being,"[""person"", ""individual"", ""someone"", ""somebody"", ""mortal""]","[""alguien"", ""alguno"", ""alma"", ""humano"", ""individuo""]","[""-人"", ""-員"", ""-者"", ""人"", ""人間""]","[""homme"", ""humain"", ""individu"", ""personne"", ""quelqu'un""]","[""alguém"", ""indivíduo"", ""pessoa"", ""ser_humano""]","[""anima"", ""essere_umano"", ""individuo"", ""mortale"", ""persona""]","[""człowiek"", ""istota_ludzka"", ""istota_rozumna"", ""jednostka"", ""osoba""]","[""个人"", ""个体"", ""凡人"", ""某人"", ""灵魂""]","[""individu"", ""insan"", ""manusia"", ""orang"", ""seorang""]"
15388,a living organism characterized by voluntary movement,"[""animal"", ""animate_being"", ""beast"", ""brute"", ""creature""]","[""animal"", ""bestia"", ""criatura"", ""fauna""]","[""4つ脚"", ""4つ足"", ""アニマル"", ""動物"", ""四つ脚""]","[""animal"", ""bête"", ""créature"", ""faune"", ""être""]","[""animal"", ""besta"", ""bicho"", ""criatura"", ""ser""]","[""animale"", ""bestia"", ""bestiola"", ""creatura""]","[""zwierzę""]","[""凶残的人"", ""动物"", ""动物群"", ""生物"", ""畜生""]","[""binatang"", ""binatang_buas"", ""fauna"", ""hewan"", ""makhluk""]"
17222,(botany) a living organism lacking the power of locomotion,"[""plant"", ""flora"", ""plant_life""]","[""flora"", ""planta"", ""plantae""]","[""植物"", ""草木""]","[""flore"", ""plante"", ""végétal""]","[""flora"", ""planta"", ""vegetal"", ""vida_vegetal""]","[""pianta"", ""vegetale""]","[""roślina""]","[""植物"", ""植物群""]","[""flora"", ""pokok"", ""tanaman"", ""tumbuh-tumbuhan"", ""tumbuhan""]"
20827,that which has mass and occupies space,"[""matter""]","[""materia"", ""sustancia""]","[""物質""]","[""matière"", ""substance""]","[""matéria"", ""substância""]","[""materia"", ""sostanza""]","[""materia""]","[""物质""]","[""bahan"", ""inti"", ""zat""]"
21265,any substance that can be metabolized by an animal to give energy and build tissue,"[""food"", ""nutrient""]","[""alimento"", ""comida"", ""nutriente"", ""nutrimento"", ""sustento""]","[""栄養"", ""栄養分"", ""栄養物"", ""栄養素"", ""滋養""]","[""aliment"", ""nourriture"", ""nutriment""]","[""alimento"", ""comida"", ""nutriente""]","[""cibo"", ""sostanza_nutritiva""]","[""jedzenie"", ""pokarm"", ""pożywienie"", ""żywność""]","[""滋养物"", ""营养物"", ""食品"", ""食物""]","[""gizi"", ""makan"", ""makanan"", ""nutrisi"", ""pangan""]"
23271,the psychological result of perception and learning and reasoning,"[""cognition"", ""knowledge"", ""noesis""]","[""cognición"", ""conocimiento"", ""noesis"", ""saber""]","[""ナレッジ"", ""ノリッジ"", ""ノレッジ"", ""了知"", ""知識""]","[""connaissance"", ""savoir"", ""science""]","[""cognição"", ""compreensão"", ""conhecimento"", ""noção""]","[""cognizione"", ""conoscenza"", ""cultura"", ""episteme""]","[""wiedza""]","[""知识"", ""认知""]","[""ilmu"", ""ilmu_pengetahuan"", ""kognisi"", ""makrifat"", ""mualamat""]"
27167,a point or extent in space,"[""location""]","[""lugar""]","[""ロケーション"", ""位置"", ""地点"", ""場"", ""場所""]","[""lieu"", ""localisation""]","[""localização"", ""lugar"", ""ponto""]","[""luogo""]","[""przestrzeń""]","[""位置""]","[""kedudukan"", ""lokasi"", ""tempat""]"
30358,something that people do or cause to happen,"[""act"", ""deed"", ""human_action"", ""human_activity""]","[""acción"", ""acto""]","[""アクト"", ""営み"", ""営為"", ""活動"", ""行""]","[""acte"", ""l'action_humaine""]","[""ato"", ""ação"", ""feito""]","[""atto"", ""azione""]","[""akt"", ""czyn"", ""działanie"", ""postępek"", ""uczynek""]","[""作为"", ""动作"", ""行为""]","[""aksi"", ""hasil"", ""kelakuan"", ""perbuatan"", ""tindak""]"
